Time	F0	IdealF0	SmoothedIdealF0
0.15358843537414973	201.20531191878257	--undefined--	--undefined--
0.16858843537414975	202.84449363455064	--undefined--	--undefined--
0.18358843537414973	208.64770546789475	214.4337851700079	214.4337851700079
0.19858843537414972	219.17016122449604	218.98730358646253	218.98730358646253
0.21358843537414973	227.21859918155428	223.63751632723998	223.63751632723998
0.22858843537414975	231.90350540390855	228.38647670397773	228.38647670397773
0.24358843537414973	236.26677056868735	233.23628163054866	233.23628163054866
0.2585884353741497	239.75643138974976	238.18907254895777	238.08737099527505
0.27358843537414973	241.69809347446346	243.24703637490077	242.14772789277578
0.28858843537414974	244.01530328581916	248.41240646340137	245.37382088959748
0.30358843537414976	247.2570697984924	252.93020094421732	247.73070662690338
0.3185884353741497	249.80814142292354	251.74040845074495	249.1926598097885
0.3335884353741497	250.7999707793882	250.55621278269004	249.74364061067914
0.34858843537414974	250.14100614676954	249.37758761239067	249.3775876123906
0.3635884353741497	248.4676336478903	248.20450673603088	248.20450673603088
0.3785884353741497	246.77155193310665	247.03694407305846	247.03694407305846
0.3935884353741497	245.59696147324854	245.87487366560512	245.87487366560512
0.40858843537414974	244.98200415501236	244.71826967790915	244.4960788613462
0.42358843537414975	244.54076254687288	243.5671063957412	242.496612604774
0.4385884353741497	243.74959359784893	242.42135822583256	239.89184443567672
0.4535884353741497	241.92313020656425	239.7516806122336	236.70166891239163
0.46858843537414974	238.38675505127134	234.33982885176596	232.9502526008471
0.4835884353741497	233.0474272453892	229.05013740067542	228.6657292838262
0.4985884353741497	226.7605363456969	223.87984876636108	223.87984876636108
0.5135884353741497	220.17165043823127	218.8262677003786	218.8262677003786
0.5285884353741497	213.43300508030893	213.88675979341954	213.88675979341954
0.5435884353741497	208.1613227303527	209.05875010200518	209.05875010200518
0.5585884353741497	203.84233000287276	204.3397218061803	204.33972180618034
0.5735884353741497	199.57233500756496	199.72721489750583	199.72721489750583
0.5885884353741496	195.33608344586102	195.21882489666757	195.21882489666757
0.6035884353741496	191.06337738351908	190.81220160003176	190.81220160003178
0.6185884353741497	186.75358216209824	186.50504785449448	186.59155012617381
0.6335884353741497	181.62319490095382	182.2951183599859	183.1709889169582
0.6485884353741497	176.7362202660901	178.18021849900526	180.50959627765556
0.6635884353741497	175.86271559871864	174.72442061727034	178.57587505746068
0.6785884353741497	176.84127865270773	175.46490609224122	177.34713064210962
0.6935884353741496	177.30665319964393	176.20852975898126	176.80902647685957
0.7085884353741496	177.50845913180615	176.95530491720777	176.9553049172078
0.7235884353741496	177.70608399905376	177.70524492300274	177.70524492300274
0.7385884353741496	178.45918044669384	178.45836318905137	178.45836318905137
0.7535884353741497	179.31651818711475	179.2146731848821	179.2146731848821
0.7685884353741497	179.6161722687764	179.97418843710747	179.97418843710747
0.7835884353741497	179.49318394260587	180.73692252966615	180.73692252966615
0.7985884353741497	179.05166789897066	181.5028891040657	181.5028891040657
0.8135884353741497	178.2482312585687	182.2721018596267	182.2721018596267
0.8285884353741496	177.09152384334456	183.04457455372776	183.04457455372776
0.8435884353741496	175.68268458293772	183.82032100205143	182.91570522376082
0.8585884353741496	173.90808289275753	184.5993550788315	179.5995557865462
0.8735884353741497	171.17224578445672	185.38169071710095	173.26851290289392
0.8885884353741497	166.00515026390877	179.8480889202254	164.24575935710496
0.9035884353741497	156.47622286281302	159.68472657626555	152.9779406309324
0.9185884353741497	141.78613031947617	141.78194527853594	141.92618731612367
0.9335884353741496	125.89004651888055	125.88630383109928	131.40361395679875
0.9485884353741496	115.58868933042822	111.77277516628163	122.01287351510939
0.9635884353741496	110.31491836502657	109.21096904487189	115.06809442915558
0.9785884353741496	108.11206625842215	108.11358127545118	110.21865500884141
0.9935884353741497	107.02356959280678	107.02722041959977	107.22750806169832
1.0085884353741497	105.94814399259218	105.95177567526002	105.95177567526002
1.0235884353741498	105.03808809785224	104.88713735374982	104.52484844587772
1.0385884353741497	103.36894264333752	103.8331968685751	102.4900192014309
1.0535884353741498	99.9862048297571	102.78984672435463	99.88363144014319
1.0685884353741497	96.28610444153078	99.3219892996449	96.75151929330667
1.0835884353741498	93.23197782382823	94.21378450062632	93.36439470092337
1.0985884353741497	89.36542097044159	89.36829852603638	89.65954106245633
1.1135884353741499	84.76925886845874	84.77201954864324	85.78150170272384
1.1285884353741498	81.19148028569435	81.7309749764487	82.50985981255933
1.1435884353741497	78.93690558301769	79.62163211541323	79.78718169550567
1.1585884353741498	77.12617669456891	77.5667279455433	77.5667279455433
1.1735884353741497	75.35114310859896	75.5648574932092	75.56485749320919
1.1885884353741498	73.57789747111107	73.61465204485384	73.61465204485386
1.2035884353741497	71.80331748244007	71.71477821117982	71.71477821117982
1.2185884353741498	70.03090103763633	69.86393701548765	69.86393701548765
1.2335884353741497	68.25396779734518	68.06086300554325	68.06086300554325
1.2485884353741497	66.44812051072202	66.304323388366	66.304323388366
1.2635884353741498	64.26199407850102	64.59311718734688	64.59311718734688
1.2785884353741497	61.581185215799565	62.92607442112001	62.92607442112001
1.2935884353741498	59.722066923053546	--undefined--	--undefined--
